tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
100	Basaltic dike	6B260:6B261	292	31		2	2	2	0	0.06	13	46.76	-92.16	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness >10m. Strike N85W. Dip not determined
107	Basaltic dike	6B276:6B277	293.5	35.5		2	2	2	0	0.06	7	47.2	-91.38	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 3m. Strike N60W. Dip nearly vertical
176	Basaltic dike	6B451:6B452	305	42		2	2	2	0	0.06	1	47.99	-89.66	Extrusive:Igneous	Volcanic Dike	Basalt	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Thickness 1m. Strike N35W. Dip vertical
193	Brule Hovland gabbro	6B495:6B496	296.5	43		2	2	2	0	0.06	11	47.9	-90.65	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-grained, ophitic, diabase gabbro"
195	Brule Hovland gabbro	6B498:6B499	298	32		2	2	2	0	0.06	13	47.92	-90.65	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-grained, inequigranular, mottled gabbro"
204	Brule Hovland gabbro	K102.2:K102.3:K102.4:K102.5	332	58.5	117.1	4	4	4	0	0.06	6.5	47.91	-90.2	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Medium-grained granophyre
214	Brule Hovland gabbro	K117.1:K117.2:K117.3:K117.4:K117.5:K117.6	270	58	215.8	6	6	6	0	0.06	3.9	47.91	-90.26	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Medium-grained, faintly laminated gabbro"
174	Cook County diabase	6B420:6B421:6B422:6B423:6B424:6B425:6B426:6B427:6B428:6B429:6B430:6B431:6B432:6B433:6B434:6B435:6B436:6B437:6B438	270.5	48	117.7	19	19	19	0	0.06	3	47.98	-89.67	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	E-W Hat Point dike. Medium-grained diabase sampled from contact toward center
175	Cook County diabase	6B439:6B440:6B441:6B442:6B443:6B444:6B445:6B446:6B447:6B448:6B449:6B450	270.5	48	216.3	12	12	12	0	0.06	2.7	47.99	-89.66	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	NW-SE Hat Point dike. Lithology like site 174
190	Cook County diabase	6B485:6B486	333	36		2	2	2	0	0.06	22.5	48.08	-90.82	Intrusive:Igneous	Pluton	Diabase	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Altered diabase near base of gabbro
