AREA,PERIMETER,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MAPLABEL,DESCRIPTN,UNIT_NAME,TERRANE,ERA,SUBDIV,AREA_CALC
64236569.22360000014,58613.76497510000,BG,AB,MGS,"20101215","280127","5386526","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"64208035"
11524101.44659999944,27744.45609280000,BG,AB,MGS,"20101215","381870","5388865","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"11530477"
27998294.46700000018,21091.01829870000,BG,AB,MGS,"20101215","407316","5388293","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"28014847"
3389326.18568000011,6758.49403936000,BG,AB,MGS,"20101215","269146","5389433","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"3387582"
8651146.48977999948,24986.09406710000,BG,AB,MGS,"20101215","304446","5387452","15",Avs,"Volcanic and volcaniclastic rocks; felsic to intermediate composition",,Wabigoon subprovince,Neoarchean,Superior Province,"8656858"
91694524.18539999425,48827.37176770000,BG,AB,MGS,"20101215","379025","5383887","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"91733606"
13073303.37560000084,20713.18117390000,BG,AB,MGS,"20101215","372536","5386998","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"13079056"
25431154.19099999964,20316.62841790000,BG,AB,MGS,"20101215","308774","5386946","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"25428853"
31652398.41670000181,48184.83473070000,BG,AB,MGS,"20101215","414467","5383402","15",Amv,"Mafic metavolcanic rocks; minor volcaniclastic and hypabyssal intrusions",,Wabigoon subprovince,Neoarchean,Superior Province,"31672467"
1221956.56013999996,6194.98019281000,BG,AB,MGS,"20101215","379451","5388608","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"1222512"
132411139.07099999487,58139.09942720000,BG,AB,MGS,"20101215","273268","5378835","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"132350773"
24222612.79679999873,20130.01078930000,BG,AB,MGS,"20101215","418277","5385358","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"24238053"
6533335.48441999964,9373.10723234000,BG,AB,MGS,"20101215","268559","5386919","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"6529943"
2213929.94099000003,5690.17560855000,BG,AB,MGS,"20101215","263139","5387107","15",Ami,"Mafic plug-like intrusion; typically magnetic",,,Neoarchean or Paleoproterozoic,,"2212646"
24264170.25059999898,19260.65488820000,BG,AB,MGS,"20101215","253285","5383377","15",Agu,"Granitoid intrusion, undifferentiated or poorly constrained by core and outcrop",,massive to weakly foliated,Neoarchean,Superior Province,"24247199"
19785938.52299999818,26612.61626850000,BG,AB,MGS,"20101215","484672","5387461","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"19801244"
26650630.65469999984,28336.01821850000,BG,AB,MGS,"20101215","387963","5385671","15",Agr,Granitic intrusion,,massive to weakly foliated,Neoarchean,Superior Province,"26664019"
10637852.11400000006,13334.80815350000,BG,AB,MGS,"20101215","218635","5386009","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",,massive to weakly foliated,Neoarchean,Superior Province,"10625647"
53949269.71050000191,27381.04767250000,BG,AB,MGS,"20101215","266175","5382134","15",Agp,"Gabbro, pyroxenite, peridotite, lamprophyre intrusion",Strathcona pluton,massive to weakly foliated,Neoarchean,Superior Province,"53920034"
42929490.56050000340,25470.10978280000,BG,AB,MGS,"20101215","393603","5383531","15",Agm,"Granite to granodiorite, variably magnetic",,massive to weakly foliated,Neoarchean,Superior Province,"42951772"
